movie,sentence,score
더 퍼스트 슬램덩크,솔까 이렇게까지 개 호들갑 떨 정도는 아님,6
더 퍼스트 슬램덩크,"그래, 추억을 이길 순 없지!",10
더 퍼스트 슬램덩크,영화 재밌게 보고 왔어요!,10
더 퍼스트 슬램덩크,무척 재미있게 봤다~ 스포츠를 좋아한다면~ 추천,9
더 퍼스트 슬램덩크,ㅤ,7
더 퍼스트 슬램덩크,또보고싶고또보고싶고또또보고싶고,10
더 퍼스트 슬램덩크,추억보정 평이 많네..,6
더 퍼스트 슬램덩크,진심 오타쿠의 가슴에 불을 지핀다 외전 내주세요 제발 ㅠ,10
더 퍼스트 슬램덩크,너무 재밌게 봤습니다 혹시나 하는 마음에 써보는 글인데 대한민국은 정대만 강백호의 학폭을 묵인하면서 볼수 있는 영화입니까? 프로 불편러들 어떠세요 당신들은?? 이게 용인되고 재밌고 멋지면 안우진도 국가대표로 멋지게 극복 할수 있게 해줘야 하는거 아닌가 싶네요,10
더 퍼스트 슬램덩크,귀칼이후로 애니를 극장가서 보다니..,10
더 퍼스트 슬램덩크,다른사람에 끌려 억지로봤는데 본격 그들만의 영화. 진짜 슬램덩크 하나도 모르는사람이면 보는거 고민해보셈. 추억보정 없이 보면 진짜 개ㅆㄴㅈ임. 그들만의 평점에 낚이지말고,1
더 퍼스트 슬램덩크,모든 장면이 벅차오름 엉엉 울면서 봄,10
더 퍼스트 슬램덩크,추억 소환 영화. 명대사 나오기 시작하면 감동이 잔잔하게 몰려옴. 앞자리 남자는 울더라.,10
더 퍼스트 슬램덩크,정말 좋아합니다 난 늘 진심이었다구요 쇼호쿠,10
더 퍼스트 슬램덩크,3번 볼 정도로 잘 만든 영화. 일본 애니 영화계의 GOAT. 行け！りょた！,8
더 퍼스트 슬램덩크,생각보다도 깔끔한 작화 및 가슴이 쿵쾅거리게 만드는 OST!!경기 중간 중간 과거 장면 때문에 긴박감 줄어든다 말들이 많은데 난 오히려 스토리 충만감에 있어서 더 좋았음^^,7
더 퍼스트 슬램덩크,영상미 너무 좋음아는 내용에서 조금 추가 되었지만지루하지도 않고 옛생각이났음,10
더 퍼스트 슬램덩크,역시 슬램덩크는 최고 !!!,9
더 퍼스트 슬램덩크,굿 굿 굿이라는 표현밖에...,10
더 퍼스트 슬램덩크,최고다 진짜 최고다..,10
더 퍼스트 슬램덩크,"네 번을 봐도 또 보고싶은 영화, 20대라 슬램덩크의 추억은 없지만 그 시절 10-20대의 추억을 현재 나도 쌓아가는 중. ",10
더 퍼스트 슬램덩크,슬램덩크 처음 보는데 다보고 전율이 그냥 말이안됨,10
더 퍼스트 슬램덩크,진짜 다시 보고싶었던 만화를 보니 눈물이 나올정도로 좋았습니다. 같은 또래의 관객들과 나는 동시대의 추억을 간직한 동지같은 느낌 ㅎㅎㅎ,10
더 퍼스트 슬램덩크,눈물이 멈추지 않아요…,10
더 퍼스트 슬램덩크,2023년 최대 감동작!,10
더 퍼스트 슬램덩크,가슴속에서 무언가가 올라오는게 느껴졌다,10
더 퍼스트 슬램덩크,만화책으로만 보던 느낌을 영화관에서 보니 뭔가 더 짜릿했습니다 추천,9
더 퍼스트 슬램덩크,왜 우나 했더니 ㅠㅠ 나도 울었당 감성자극 슬램덩크  굿,10
더 퍼스트 슬램덩크,슬램덩크 관심도 없던 사람인데 영화가 좋아서 만화와 애니까지 정주행중!! ,10
더 퍼스트 슬램덩크,미쳤다 그냥 청춘 그자체다,10
더 퍼스트 슬램덩크,미쳤다 그냥 청춘 그자체다,10
더 퍼스트 슬램덩크,어렸을 때와 현재의 감동이 더해져서 배가 되었다,9
더 퍼스트 슬램덩크,"슬램덩크를 모르는 사람이 봐도 재밌고영화 초반부는 진짜 짜릿한 장면이라 잊혀지지 않는다.한 번으로는 부족하다, 내려갈 때까지 시간 날 때마다 보러간다.이건 그럴 가치가 있다",10
더 퍼스트 슬램덩크,존나재밌음진짜로ㄹㅇ,10
더 퍼스트 슬램덩크,"그림체 라인이 그려져 있는것부터, 과거와 현재의 이동도.운동 움직임이 많은 애니였는데, 부드럽게 잘 이어지는것도 . 잔잔하지만 박진감있는 영화",9
더 퍼스트 슬램덩크,하 ... 말해 뭐해 또 보러갈게 ...,10
더 퍼스트 슬램덩크,중학교때의 벅찬감동이 다시 느껴졌다.,9
더 퍼스트 슬램덩크,"80년대생에게 슬램덩크는 감동인데, 솔직히 그리 재밌지 않았다. 최악은 아니지만 이건 안봐고 무방하다고 본다. 번역은 정말 돈 받고 일한게 맞나 싶은 정도다. 의역을 왜 이렇게 해서 눈과 귀를 따로 놀게 만드는지.",5
더 퍼스트 슬램덩크,눈물 줄줄 흘리면서 봄..,10
더 퍼스트 슬램덩크,러닝타임내내 눈물을 흘렸다...,10
더 퍼스트 슬램덩크,슬램덩크 왼손은 거들뿐 만 알고 주인공 이름도 모른 상태에서 봤는데 진짜 개재밌다.... 영화관에 3040대가 확실히 많았고 아빠하고 보러온 자식들도 많았다 노래와 연출이특히 좋았음,10
더 퍼스트 슬램덩크,감동과 감격에 통곡을 하고 왔네요이런 영화를 만들어줘서 감사할뿐입니다,10
더 퍼스트 슬램덩크,어린 시절이 떠올라서 먹먹했어요,10
더 퍼스트 슬램덩크,스토리 연출 ost 전부 만점 재밌어요,10
더 퍼스트 슬램덩크,영화본후 댓글들 읽는데 울컥하네...,10
더 퍼스트 슬램덩크,"희열감이 쩜,집중력이 짱",10
더 퍼스트 슬램덩크,10점…10점이요!,10
더 퍼스트 슬램덩크,진짜 소리 진짜 너무 좋습니다.더빙을 강력 추천...몸짓 하나하나 진짜 너무 디테일하고 짱입니다,10
더 퍼스트 슬램덩크,영화관에서 안보면 두고두고 후회할 영화,10
더 퍼스트 슬램덩크,오프닝부터 엔딩까지 소름 반가움 감동,10
더 퍼스트 슬램덩크,몇 번을 더 봐야 경기장면  말미에서 편안하게 볼 수 있는겁니까,10
