movie,sentence,score
더 퍼스트 슬램덩크,3번째 보니 더 감동적이에요 볼수록 감정에 이입되네요,10
더 퍼스트 슬램덩크,"30대 들어서면서 이런 감동을 느껴본게 언젠지 기억이 안 나는데,오랜만에 어린시절을 추억하고 떠올리게 해준 아주 감동적인 걸작이었습니다",10
더 퍼스트 슬램덩크,뮤트되는 부분에서 모두가 조용하더라,10
더 퍼스트 슬램덩크,최고의 영화.. 추천해요..,10
더 퍼스트 슬램덩크,너무 재미있게 봤습니다♡,10
더 퍼스트 슬램덩크,앞으로 긴장할 때는 손바닥을 보자,10
더 퍼스트 슬램덩크,만화책으로 본 적 없는 아재인데 꽤 잘 만들었더라. 인정. ,10
더 퍼스트 슬램덩크,만화의 감동 그대로  코믹요소는  빠짐,10
더 퍼스트 슬램덩크,슬램덩크를 아는 분이라면 반드시 봐야합니다,10
더 퍼스트 슬램덩크,:):):):):),10
더 퍼스트 슬램덩크,슬램덩크의 팬이 아닌 나도 정말 재밌게 봤다. 박진감 넘치는 연출과 감동적인 스토리가 인상적이었다. 특히 경기 마지막 1분에서 시계소리만 나는 연출로 인해 긴장감을 극도로 느낄 수 있었다. 오늘부로 슬램덩크의 팬이 될 것 같다,8
더 퍼스트 슬램덩크,미완의 마지막 경기가 20년만에 완성된 순간,9
더 퍼스트 슬램덩크,3D와CG가 대단하고 남녀노소 재밌게 볼 수 있는 작품이다(정대만 화이팅!),10
더 퍼스트 슬램덩크,원작의 팬이 아니더라도 원작의 팬으로 만들 수 있는 영화,7
더 퍼스트 슬램덩크,감동 그 자체 안보면 평생을 후회하실테니 얼른 가서 보고오시길,10
더 퍼스트 슬램덩크,"결과 알고 있지만 다시봐도 재미있네요 ㅎ 더 늦기전에 보시길, ",10
더 퍼스트 슬램덩크,그냥 레전드다… 내 기억 속에 평생 남아있을 것 같다제발 뇌절 좀 해 줬으면… ㅠㅠ,10
더 퍼스트 슬램덩크,포기를 모르는 남자 정대만,10
더 퍼스트 슬램덩크,최고 진짜,10
더 퍼스트 슬램덩크,처음으로 보는 슬램덩크였다레전드가 왜 레전드인지 설명해준 영화,10
더 퍼스트 슬램덩크,30대중반인데...벅차서 울뻔했네요 정말,10
더 퍼스트 슬램덩크,"반일정신병 걸린 좌리웹, 좌배드림 아재들 엄청보더라?ㅎㅎ 역겨운 선택적 정의",10
더 퍼스트 슬램덩크,"내 인생에 4번이나 같은 영화를 볼줄이야..아들이랑 두번, 혼자 두번 관람하며 무한감동 느끼게 해준 인생최고 영화임 시작부터 흰스케치북에 드로잉 되며 한명씩 걸어오는 북산선수, 후반 송태섭이 어머니, 한나로부터 &amp;#34;뚫어 송태섭&amp;#34;의 외침으로 산왕수비 뚫고 나올때 그 역동감, OST는 전율 그자체 경기종료 1분간은 극장안 그 수많은 사람들이 숨조차 쉴수없는 최고의 흐열을 느끼게끔 만드는 여태껏 보지 못한 최고의 감동영화였다 옛추억을 되돌아볼수 있게 만들어준 인생 최고영화... 슬램덩크!!",10
더 퍼스트 슬램덩크,실제 평점은 6점정도. 송태섭이야기가 지루했음,2
더 퍼스트 슬램덩크,슬램덩크 처음보는데 재밌어요 특히 선수들 스케치되면서 걸어오는 부분이 인상적임 회상씬 나올땐 약간 지루하지만 전체적으로 재밌어서 다시 보러감,10
더 퍼스트 슬램덩크,"우리 세대때 여자든 남자든 슬덩 안본 사람이 있을까?  아니 안본 사람은 있더라도 제목이라도알지 않을까? 극장에 혼자가서 n회차 감상을 하게만든 첫 영화. 사실 별생각없이 갔다가 오프닝부터심장이 뛰더라. 다녀와서 미친듯이 원작, TV애니시리즈 복습하고 극장 다니고 있다. 말라비틀어져서 반쯤 녹슬어버린 할미 심장도 다시 펌프질 시키는 갓띵작.  청춘이었고 여름이었다. 말이 필요할까요. ",10
더 퍼스트 슬램덩크,인생에서 희미해진 목적들의 향기를 다시금 느끼게 ,10
더 퍼스트 슬램덩크,난 왜 이렇게 늦게 태어난 거지 90년대에 실시간으로 원작 보며 컸어야 했는데...T-T 엄마아빠 세대가 부럽다 ,10
더 퍼스트 슬램덩크,와 감독 연출 미쳤네슬램덩크 아는사람 꼭 봐유 ,10
더 퍼스트 슬램덩크,스토리 하나도 모르고 갔는데 울었습니다…정말 세기의 명작,10
더 퍼스트 슬램덩크,누구에게나 순수하고 열정적이었던 그때가있었다,8
더 퍼스트 슬램덩크,모든게 완벽한 산왕과 북산 그리고 베이스,10
더 퍼스트 슬램덩크,역시내인생최고작품임,10
더 퍼스트 슬램덩크,하 존잼이야,9
더 퍼스트 슬램덩크,너무 재미있었고 다음에도 또 보고싶은 생각이 있음,10
더 퍼스트 슬램덩크,"꼭 필요한 경험을 하게 해달라는 말이 와닿고, 다시 보고픈 영화",10
더 퍼스트 슬램덩크,농구도 모르고 원작도 모르고 봤는데 너무너무 재밌었어요!,10
더 퍼스트 슬램덩크,정말 쵝오.... 한번 더 보고싶어요,10
더 퍼스트 슬램덩크,라스트20여초 그 적막에서 아직도 헤어나오지 못함..,10
더 퍼스트 슬램덩크,추억을 되살릴수 있는 존잼입니다.,10
더 퍼스트 슬램덩크,"스토리 호흡이 아주 조금 아쉬웠던 점을 빼고, 3D로 구현이 너무 잘 되었다고 느껴졌고 눈부신 영상미가 돋보이는 마음 벅찬 애니메이션이었습니다.",10
더 퍼스트 슬램덩크,인생 최고의 명작 강추합니다,10
더 퍼스트 슬램덩크,"다 필요없음 그냥 이건 봐야하는 영화 끝! 아, 자막 더빙 고민하는 것조차 사치",10
더 퍼스트 슬램덩크,내용을 알고봐도 너무 재미있고감동 또 감동,10
더 퍼스트 슬램덩크,아주 재밋고  스릴있ㄷ고 특히 신나는 음악이 넘 좋았음,10
더 퍼스트 슬램덩크,연출이 멋지다..아는 내용인데도 흥미진진하게 봤다,9
더 퍼스트 슬램덩크,재밌다 ㅋ 백호가 재밌었다 ㅋ ost 짱 ㅋ,10
더 퍼스트 슬램덩크,진짜 재밌어요 옛날 기억이 새롭네요더빙보다는 일어로 추천드려요,10
더 퍼스트 슬램덩크,산왕전이 아니라 산왕전 그 이후의 이야기나 시합이 나왔다면 천만 가까이 찍지 않았을까 싶다 이미 알고 있는 내용이라 안 보러 갔는데 아마 나 같은 사람들 굉장히 많을듯 싶음,10
더 퍼스트 슬램덩크,진짜개쩐다 꼭 보자!!!,10
더 퍼스트 슬램덩크,13살이봐도 재밌다 걍 재밌다,10
더 퍼스트 슬램덩크,그냥 보세요 토달지 마세요 ,10
더 퍼스트 슬램덩크,작화가 좋네요아바타2처럼 작화 보는 맛으로 보는 작품스토리는 무난하고엔딩은 별로였지만추억도 떠오르고요다른건 다 제치고서라도작화가 어쨌든 진짜 좋았습니다,8
더 퍼스트 슬램덩크,"마지막 정적 속에서의 하이파이브는 둘의 서사를 모르고는 느낄 수 없는 최고의 감동임ㅠㅠㅠ백호가 2만번의 미들 슛을 연습하면서 자기가 생각했던 이상적인 자세를 그릴 수 있게 되었을 때, 서태웅의 폼은 늘 같았지만 그제서야 태웅의 슛폼이 자신이 바라던 이상적인 슛폼인 것을 깨닫고 인정하는 과정과 그런 태웅에게 받은 패스로 만들어낸 미들 슛의 역전극ㅠ하….쓰면서도 눈물이 나네…. 내 인생에 이런 완벽한 작품이 있어 다행입니다. ",10
